real_id,nb_assigned_ids,nb_original_fp,ratio,max_chain
08a984f9-9503-41c3-95a9-001f60ccc981,22,27,1.227273,2
644cc752-3d2b-4bc8-8521-9c913e09170f,3,5,1.666667,2
f80e3924-ebe8-4e2b-8fc1-f8040e9b541d,14,15,1.071429,2
050de4b3-0882-4235-9554-9a624b8850fb,8,13,1.625000,3
b31c10f0-ddb3-4d3f-b6b1-6ac865523ec8,16,21,1.312500,3
519e56e4-9bbe-493d-9a82-70f9d8dc5c69,10,15,1.500000,2
b598bd23-8da8-4ecf-8ed7-f22321137698,23,26,1.130435,3
21cbaff6-4d5f-4083-9edf-9523563b74ae,41,44,1.073171,2
cb8044c4-b13f-45a5-a981-ad46f7a15bd9,17,20,1.176471,2
06bae8fb-0776-4dad-ab94-34d99d38f70b,11,15,1.363636,3
39107c52-98c9-4a75-b505-271294fac465,34,51,1.500000,4
5d6b65a6-6a87-4085-900c-575ab429c359,33,43,1.303030,3
a1a87013-2cc1-4ab5-a85b-9fd21ffffe4b,38,47,1.236842,3
ae58f689-c66b-4ec7-8bea-c1ef1490288a,17,18,1.058824,2
8144d312-23f4-4c5b-b369-7f52ee2900c9,15,19,1.266667,2
1729815c-0eca-4350-ab5c-5ce2c530fcd4,36,41,1.138889,2
