assigned_id,nb_assigned_ids,nb_fingerprints,ownership,id_ownership
1ad089d4-3698-4aab-a23f-8211535ac878,1,1,1.000000,faede4bf-624b-414f-8bff-7f3bbfc74f7b
73905fd3-dbb1-44ec-8275-3f6c0d283b62,1,1,1.000000,7a26546e-0a07-423c-9e97-0ef56212920d
0a7266da-7c57-4cb6-b36c-843aefce5f38,1,2,1.000000,7df7a9b0-729a-40ef-9403-c28f90d19453
7b1341c2-65f0-4239-9e8e-e2c07a76c839,5,8,0.375000,4c7e79d1-ebd0-40e5-97cc-5156fe65e1ac
6d560818-6f44-4aa4-bf71-844c848b7479,1,1,1.000000,8d7e30ed-2eb2-48c9-ad99-3d0e8cf03e99
d42e5749-5e9b-4856-a557-9233e016dcc4,1,1,1.000000,6703acf0-f2c1-4b80-a158-fbbe091d3948
cae5e40f-e012-4d87-a911-6d2ab065dbfe,1,1,1.000000,b811ccd0-a9ef-40ef-8326-d8efbf85e50f
74efbbc9-ad7a-47bd-b28f-ad1600241f23,1,1,1.000000,5ac34c91-a3b4-4a11-a940-a4babf02057f
eeb8f357-bcfe-48a7-8d0e-8a34fd56a0bd,1,2,1.000000,f4f25187-82c7-4265-9bf9-71bc8ed1701f
4bef1290-b3a1-459f-9dfa-9e9b994f15ef,1,1,1.000000,6ac4be27-6951-4110-953b-42994ca04dfc
5dad21bc-fa34-4813-9cad-9d0b01b88462,1,1,1.000000,a714a287-37fd-4f34-ad8a-46580b566abe
9930aecc-219c-4d1e-8f5b-bcf13ce9dd5d,1,2,1.000000,823d6947-79a9-472f-8242-e07220bcaa02
ea6e7bd9-6254-4e00-8069-fb43ad10de9b,1,2,1.000000,36027d15-9fa5-4ada-bf4b-ed5b5daa5587
b280fbbe-ee01-40bb-a7fe-15f54618edbb,1,2,1.000000,dca7d97b-a46b-482b-b513-4c3ef1fa7dbf
bb54c6d8-0d59-4441-bfb7-8dcfa6963070,1,1,1.000000,7d7d8bee-c73e-4544-a78c-2d4e29f75749
47f17be0-67c5-4e97-ac81-051dafe82a9c,1,1,1.000000,7df7a9b0-729a-40ef-9403-c28f90d19453
ad41d300-1fa6-4c56-8a43-19c717ea4147,2,2,0.500000,17b99863-8bfd-492d-8451-374fd7cde36c
