assigned_id,nb_assigned_ids,nb_fingerprints,ownership,id_ownership
b940e5ee-b78b-4b60-b21e-79863e6cb13f,1,1,1.000000,4f2ed62c-2a18-4888-86c1-aa01ba21b64f
8bfbfe39-9858-4434-83f8-d6104b36da90,1,1,1.000000,71c102e5-a364-450a-b233-6c5e2976b9d1
1caca985-9e2b-4221-933f-fbadd63afa3d,1,1,1.000000,b2adc949-f710-48f8-8159-5533f440730d
ce37cf41-d6b7-4fbe-b6a1-625171ce554d,1,1,1.000000,59751180-e355-4bfc-b5a2-5c571dfc6efa
2a21f641-acf3-4c49-ade9-ce9bd0a5aa5e,1,1,1.000000,b34a8c1a-f43f-4635-9799-9891ed21239a
7cb3c981-7a59-464d-aca4-32bba945afa8,1,1,1.000000,bc19c32d-a271-4dd7-b5e6-62d36d1a3128
f62735a7-50a8-4478-ba7a-0d80da41e617,1,1,1.000000,5ac34c91-a3b4-4a11-a940-a4babf02057f
7844e164-1728-49ed-907a-ba2a61b0bb0a,1,3,1.000000,97c26efe-10d8-4b54-8918-61fce6c86e73
f460a898-a283-4601-ad3d-ab0d03125822,1,1,1.000000,0feedf09-ee01-43ea-9489-1b58a00ba227
9ebcb8b9-8ecf-4721-bbac-7cf7c0c64d2b,1,2,1.000000,f1f761d6-552f-4f35-be9e-b094d7b78160
bee2b3f7-e19a-4c7a-aefe-0e05675fba31,1,2,1.000000,340b7157-11e5-4463-a088-59ca98df39cd
8a536f36-7438-41bd-abe4-aacadcd38737,1,3,1.000000,5f993501-e331-41f8-88ef-8789acff3d7f
550fa3b4-fa45-4855-a534-38e39c4afa51,1,1,1.000000,36027d15-9fa5-4ada-bf4b-ed5b5daa5587
e6f79cee-c6b2-4c5f-8ef4-a9d025afa1da,1,3,1.000000,9a8ce184-8911-4e32-be51-261497e0d919
3ed80ed4-93f3-4ca4-9462-5690a9dafd73,1,2,1.000000,17b99863-8bfd-492d-8451-374fd7cde36c
452356dc-1584-4b67-ae3b-33ab3f3cb0f8,1,1,1.000000,667dd617-b20d-4e76-bbd8-c70e206668c5
ab5fb813-ad4f-4278-8aec-3cf122e11b40,1,1,1.000000,2f38656b-76d5-4b46-a81d-c90b96495673
cc39b5fa-e9b5-41b0-bfbf-65287ce6ac05,1,2,1.000000,31fa27b8-6c4d-47b2-8566-b4af4d9ca9e8
4e7c5409-0b87-489b-8688-792066d5f29c,1,1,1.000000,299be603-a667-4e4b-9287-3e88c441d26c
71517c82-d00b-42c4-a83d-227bf952f0b6,1,2,1.000000,299be603-a667-4e4b-9287-3e88c441d26c
9c150b0e-4f38-42c2-886e-b55cbdada701,1,1,1.000000,faede4bf-624b-414f-8bff-7f3bbfc74f7b
3e4f833f-7cfe-42f9-8e0b-4d2697da678a,1,1,1.000000,4c7e79d1-ebd0-40e5-97cc-5156fe65e1ac
d3aedcbd-8d79-4609-b384-465fd713a0a3,1,1,1.000000,644cc752-3d2b-4bc8-8521-9c913e09170f
81160e32-25a9-4592-b9a4-e771a9b8ac6e,1,1,1.000000,2f38656b-76d5-4b46-a81d-c90b96495673
