assigned_id,nb_assigned_ids,nb_fingerprints,ownership,id_ownership
0a25d5c3-1e6e-4494-966e-a5d5b5638fbf,1,5,1.000000,10c196fc-2c76-4e4b-b628-4472949c39c3
e8096784-55ee-4981-80b6-86ef2f3454a3,1,2,1.000000,1e4d3af4-cc42-44a9-b716-96fcf81a25a5
eb2b7294-ea8d-4a50-8fed-323b381bdb53,1,1,1.000000,c15796a9-88e4-406f-bd36-788d0e579acd
46a0259a-d3ac-41ae-9839-84f0654d1f0c,1,2,1.000000,4f84b332-20fa-45e8-b9e0-e9fd0839492a
823d7a3c-9e63-4706-a322-6e133d6b7dcf,1,3,1.000000,475f6ef0-4e4c-4fdc-b24f-529a349d521e
35f84e89-3ff0-4591-9158-50e14d919ba8,1,13,1.000000,5e3d6bde-1451-4103-89a6-c67d81f63ed6
f70667a6-1471-478d-beff-eae6d957fd9e,1,1,1.000000,2657b615-04b0-4c11-8343-1245c9c07676
f9b0edad-e639-4218-b87c-2e93f5033f9d,2,3,0.666667,7d7d8bee-c73e-4544-a78c-2d4e29f75749
44cfb008-7780-4f0b-b664-d8ce6d19e7e0,1,2,1.000000,68942969-0475-4a26-931b-d1d8043a659c
f521cf40-6db8-4a44-a976-6ee7034f1f36,1,11,1.000000,5f118823-51ee-47bb-859f-1316523af0ed
62de350c-cdf1-4fc2-84b6-6b9b3f0eb8b9,1,1,1.000000,0062535e-d9ab-4cb0-ae8f-79133b440129
f658d519-3282-4577-a2ef-fb249965cbdb,1,3,1.000000,2dd5f116-f355-4d81-9790-cb050463be55
a43a5bd2-419c-4e76-b410-cf6af73dde07,1,1,1.000000,907af844-581a-4044-8ddb-8bcc91df32f9
473d1f51-56af-46f2-b0bf-f615f60a95c5,1,1,1.000000,b31c10f0-ddb3-4d3f-b6b1-6ac865523ec8
fa17a6ed-363a-4db2-bb5c-3a3a8ca11c46,1,1,1.000000,75f1c4e9-4841-4159-a021-44ff5c150d37
f0a74ce6-ae9c-408c-8314-64668be1859a,1,1,1.000000,595525a1-8ff1-493d-bdef-74ecb74d182b
6bf6521b-3d23-4c35-88a2-d87d05e8cab9,1,5,1.000000,59751180-e355-4bfc-b5a2-5c571dfc6efa
c1bfe510-2afe-45f2-87f9-02b72e7430d9,1,3,1.000000,ac7c0dae-6fe3-48e3-97b7-ab62571a0eb1
ad23cbf0-b67d-47b5-b862-ba7184701696,1,3,1.000000,8b10f12f-516a-44ee-9e79-134d040d1ef4
8f18a242-26b1-4e94-bbb1-14e0a2b73090,1,2,1.000000,6703acf0-f2c1-4b80-a158-fbbe091d3948
bc07f2ce-abdb-46cd-bc34-4c658c5ab896,1,1,1.000000,10c196fc-2c76-4e4b-b628-4472949c39c3
cab3ff35-e47f-4734-92cc-94e40a570872,1,2,1.000000,97c26efe-10d8-4b54-8918-61fce6c86e73
c3eede83-ddfb-4705-8b29-c18d71fd73db,1,5,1.000000,2657b615-04b0-4c11-8343-1245c9c07676
8de7a04a-681b-4e16-9e41-102ac7a2e32e,1,1,1.000000,340b7157-11e5-4463-a088-59ca98df39cd
e0795d8d-fef7-4f8e-ae9f-941c79e654d2,1,9,1.000000,15f3a523-0299-4249-8ccc-fee0b320040f
586036d2-f849-4d6c-bae1-cd8f38a9b930,1,1,1.000000,b2adc949-f710-48f8-8159-5533f440730d
b5624c62-cd5d-4c8c-a5ad-d6ba414d1192,1,3,1.000000,78d36156-f985-41f2-b808-8ffa7a87f4b9
2bfcace6-3c58-4ea6-83ce-1e0f866471b7,1,13,1.000000,bdc5938a-77a5-4148-8281-898e87238451
f16042cb-60e0-4716-909d-4d1eeb60b687,1,6,1.000000,adf5227c-74ef-49bf-b9fc-2fb8cf302732
9d2af522-ddfd-41ec-ac24-336e070e0a9f,1,2,1.000000,ee629236-d81f-4548-822a-11f979d7f013
56313d83-b5e9-4b09-9b09-ea345125976d,1,1,1.000000,ccf8bf15-e8fb-483c-83c9-e0523a2d0daa
01bb770c-ae0d-403f-8445-51cafb691c51,1,1,1.000000,71bc06fd-068a-4dd5-8c8b-4c7b2e3ff17e
c2e1a570-c5d7-4ac9-9986-69f6d34001e7,1,1,1.000000,2bef0281-b2d9-41ac-967c-45835e5ba8c0
be70fcf6-00e3-45ad-a3c2-b09477ba55be,1,2,1.000000,23adb02f-8cae-4303-bbd5-f125e974560d
5e4b8ca6-2f9c-4b5c-9ec8-7a43ff5dabaa,3,10,0.600000,68e7ae29-15ff-402c-adc1-76d5a932c984
e895c221-8001-4226-b526-fabb718b8b5f,1,3,1.000000,4f84b332-20fa-45e8-b9e0-e9fd0839492a
b99a6500-de1e-47e0-9b8b-217fc2555d8d,1,1,1.000000,efca79c2-0b12-4ce7-a28f-68ad9193990d
dd7ce551-021c-4d8f-8b28-41643061d4d1,1,2,1.000000,1729815c-0eca-4350-ab5c-5ce2c530fcd4
9446efaf-0bd7-4ccb-a32e-67046ccbf307,1,10,1.000000,7df7a9b0-729a-40ef-9403-c28f90d19453
baa4feb7-7979-4ffa-8f75-027bc9c9c8f2,1,8,1.000000,18812d7d-3e1e-4084-ad30-79ac968a2fa5
54af0631-20cd-46ba-a2ac-c3e18e483e42,2,3,0.666667,cb8044c4-b13f-45a5-a981-ad46f7a15bd9
bea9ad79-5fe1-46da-a6b8-119bb15df1bf,1,2,1.000000,169a37aa-17e8-4998-adea-e8e08e08013f
57f11d1f-628b-4034-8d4c-fb51a99306c7,1,1,1.000000,a4b7e876-b24c-4888-85f9-62bcb8a9d776
f3578ef1-ad01-4696-bb7b-17086ed3c90e,1,1,1.000000,f4f25187-82c7-4265-9bf9-71bc8ed1701f
156af772-f0a0-46b2-8d9e-292e22596d2d,1,2,1.000000,1729815c-0eca-4350-ab5c-5ce2c530fcd4
3fe891dc-8676-48a2-bbe2-adf0f54d1dbe,1,4,1.000000,af421bd7-84d7-4b0b-b621-c9b4091d1b06
e8c9df72-7fdc-4f54-b484-7dea6aac82fa,1,4,1.000000,299be603-a667-4e4b-9287-3e88c441d26c
8076b8cc-f5bc-4237-85ca-2330d281c456,1,3,1.000000,ad30762b-ff39-441d-a0f7-d388fcb65c5d
0f6c6780-b910-4a70-9f4c-ea10ba7547a3,1,2,1.000000,d7969eaf-cd67-4ac5-b060-393d864f8525
a969a7fd-e822-406e-8be3-95fe62440041,1,1,1.000000,06b6d1b3-dda3-4743-96f5-a45079ab6996
6ffdbeac-6f78-47b5-93b6-0c4a6a77dd43,1,3,1.000000,d4be492d-c9ee-46a0-b1ab-076386b61b85
5e9295d3-949b-42de-b179-c3cbea423f09,2,3,0.666667,faede4bf-624b-414f-8bff-7f3bbfc74f7b
799b471b-ebb3-4322-a27b-dc7fd4ed780e,1,2,1.000000,b811ccd0-a9ef-40ef-8326-d8efbf85e50f
5e1512eb-a855-4f65-9562-eed93d548591,1,1,1.000000,d4be492d-c9ee-46a0-b1ab-076386b61b85
5eec6688-d43e-48a1-825e-bfbcec81003f,1,1,1.000000,6a62a318-0245-4aa5-9f3f-a6e200f8724a
cc925226-eb59-48fa-8829-c6bf31591e93,3,3,0.333333,78d36156-f985-41f2-b808-8ffa7a87f4b9
106ca68c-eb6b-4260-8065-3ae113278172,1,4,1.000000,f812d842-42ac-4a21-8073-f483c059ca2d
7d8ffe97-edcd-4ed2-91f4-9637a10fe06f,1,1,1.000000,7a26546e-0a07-423c-9e97-0ef56212920d
70b450c5-11f7-4d5b-a7c9-00093c43712d,1,1,1.000000,94560f9c-6b13-4732-ac39-78f6d48a8133
4d36ce1d-4709-4fc3-ad00-21791d7358a2,1,1,1.000000,d8d2f244-6fe8-4084-86a0-7a0763b579ce
993e9568-8f88-41c6-a139-3cfde93de8f6,1,1,1.000000,5f118823-51ee-47bb-859f-1316523af0ed
32d8940d-cea0-47be-b059-59c84ef6294a,1,1,1.000000,2bef0281-b2d9-41ac-967c-45835e5ba8c0
d5eb150b-e6f3-42c5-a5a1-5c543f228e4a,1,5,1.000000,5a772c33-5555-4594-83d5-0410a67adc71
e30b3a2f-d215-404d-8563-800ff0797661,1,2,1.000000,15f3a523-0299-4249-8ccc-fee0b320040f
0a078a76-35cb-476f-b8a2-d8fa1d53719a,1,3,1.000000,639303f6-00f5-4aec-a487-291f27972688
a052ab85-7614-440f-a6a7-fe0826d94536,1,1,1.000000,2dd5f116-f355-4d81-9790-cb050463be55
692a57f7-d258-45a4-9b05-f889bdd26414,1,7,1.000000,a4b7e876-b24c-4888-85f9-62bcb8a9d776
